instrument_expiry_date,product_type,instrument_exchange,instrument_segment,instrument_token,instrument_trading_symbol,instrument_name,start,end,IA7795,DS6699,BI8011
05-06-2021,CNC,NSE,NSE,3924993,NMDC,NMDC,540,930,1,1,1
05-06-2021,CNC,NSE,NSE,2977281,NTPC,NTPC,540,930,1,1,1
05-06-2021,CNC,NSE,NSE,633601,ONGC,ONGC,540,930,1,1,1
05-06-2021,CNC,NSE,NSE,617473,PEL,PEL,540,930,1,1,1
05-06-2021,CNC,NSE,NSE,2905857,PETRONET,PETRONET,540,930,1,1,1
05-06-2021,CNC,NSE,NSE,648961,PGHH,PGHH,540,930,1,1,1
05-06-2021,CNC,NSE,NSE,681985,PIDILITIND,PIDILITIND,540,930,1,1,1
05-06-2021,CNC,NSE,NSE,2730497,PNB,PNB,540,930,1,1,1
05-06-2021,CNC,NSE,NSE,3834113,POWERGRID,POWERGRID,540,930,1,1,1
05-06-2021,CNC,NSE,NSE,738561,RELIANCE,RELIANCE,540,930,1,1,1
05-06-2021,CNC,NSE,NSE,4600577,SBICARD,SBICARD,540,930,1,1,1
05-06-2021,CNC,NSE,NSE,5582849,SBILIFE,SBILIFE,540,930,1,1,1
05-06-2021,CNC,NSE,NSE,779521,SBIN,SBIN,540,930,1,1,1
05-06-2021,CNC,NSE,NSE,806401,SIEMENS,SIEMENS,540,930,1,1,1
05-06-2021,CNC,NSE,NSE,857857,SUNPHARMA,SUNPHARMA,540,930,1,1,1
05-06-2021,CNC,NSE,NSE,878593,TATACONSUM,TATACONSUM,540,930,1,1,1
05-06-2021,CNC,NSE,NSE,884737,TATAMOTORS,TATAMOTORS,540,930,1,1,1
05-06-2021,CNC,NSE,NSE,895745,TATASTEEL,TATASTEEL,540,930,1,1,1
05-06-2021,CNC,NSE,NSE,2953217,TCS,TCS,540,930,1,1,1
05-06-2021,CNC,NSE,NSE,3465729,TECHM,TECHM,540,930,1,1,1
05-06-2021,CNC,NSE,NSE,897537,TITAN,TITAN,540,930,1,1,1
05-06-2021,CNC,NSE,NSE,900609,TORNTPHARM,TORNTPHARM,540,930,1,1,1
05-06-2021,CNC,NSE,NSE,4278529,UBL,UBL,540,930,1,1,1
05-06-2021,CNC,NSE,NSE,2952193,ULTRACEMCO,ULTRACEMCO,540,930,1,1,1
05-06-2021,CNC,NSE,NSE,2889473,UPL,UPL,540,930,1,1,1
05-06-2021,CNC,NSE,NSE,784129,VEDL,VEDL,540,930,1,1,1
05-06-2021,CNC,NSE,NSE,969473,WIPRO,WIPRO,540,930,1,1,1
